Song,BPM,PitchVariance,Loudness,SpectralCentroid,HarmonicRatio
Cheap Thrills - Pitch Perfect 3 (Lyrics).mp3,[89.10290948],1216389.2,0.21161681,2621.517875343339,2.8246504e-06
All my people.mp3,[129.19921875],1071443.4,0.23942876,2646.228733129144,-0.00020363407
Shashika Nisansala - Malsara Heesarin (Official Music Video).mp3,[99.38401442],556878.7,0.17308404,1738.8604187174642,-2.5932644e-07
Hasi (Female).mp3,[143.5546875],382777.6,0.24419068,1558.2878337729633,-1.1445245e-06
03 - Sarsariya - DownloadMing.SE.mp3,[117.45383523],516897.56,0.20508648,1723.5423225095112,1.4460619e-05
SeneheISURU AYESHMANTHA2019 New SongFull HD Music video.mp3,[107.66601562],553851.44,0.26172623,1724.9924428737118,-1.9579431e-05
Tune Maari Entriyaan.mp3,[129.19921875],1088803.4,0.23342665,2664.7132799927194,-4.817684e-06
All Around The World.mp3,[129.19921875],946392.25,0.18872522,2042.5005252444641,2.9957464e-05
Shehan Kaushalya - Mage Hithe www.my-free-mp3.net .mp3,[123.046875],620787.0,0.2400225,2293.414083931381,0.00032697324
sarath sade(juliya).mp3,[99.38401442],945246.9,0.19012241,2849.444593216036,0.0003016282
Cheap Thrills-sia .mp3,[89.10290948],1206721.5,0.22165217,2444.625506643243,-1.6923195e-05
Chris Brown - No Guidance (Audio) ft. Drake.mp3,[92.28515625],846703.25,0.25080004,1947.8499153918926,0.0009338517
Alan Walker - Alone.mp3,[95.703125],878040.06,0.26683357,2639.787365561,1.8894591e-06
Claydee Ft. Alex Velea - Hey Ma (Official Video).mp3,[92.28515625],1177540.6,0.2082859,2737.7347700280275,-1.1923e-05
Taare Zameen Par.mp3,[143.5546875],811150.56,0.109701045,2277.188050708136,-4.7702326e-07
One Two Three Four - Get On The Dance Floor.mp3,[86.1328125],1057751.5,0.22577661,2688.3046314284775,1.6039814e-06
